List of distinct SAS Analysis Formats for STAR tables chosen for this report	Unnamed: 1	Unnamed: 2	Unnamed: 3
MALMULTIPED	14685	SK MEL; CNS; GENURIN; BREAST; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14686	SK NON-MEL; CNS; GENURIN; BREAST; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14687	SK MEL; SK NON-MEL; CNS; GENURIN; BREAST; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14688	THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14689	SK MEL; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14690	SK NON-MEL; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14691	SK MEL; SK NON-MEL; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14692	CNS; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14693	SK MEL; CNS; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14694	SK NON-MEL; CNS; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14695	SK MEL; SK NON-MEL; CNS; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14696	GENURIN; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14697	SK MEL; GENURIN; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14698	SK NON-MEL; GENURIN; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14699	SK MEL; SK NON-MEL; GENURIN; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14700	CNS; GENURIN; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14701	SK MEL; CNS; GENURIN; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14702	SK NON-MEL; CNS; GENURIN; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14703	SK MEL; SK NON-MEL; CNS; GENURIN; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14704	BREAST; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14705	SK MEL; BREAST; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14706	SK NON-MEL; BREAST; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14707	SK MEL; SK NON-MEL; BREAST; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14708	CNS; BREAST; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14709	SK MEL; CNS; BREAST; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14710	SK NON-MEL; CNS; BREAST; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14711	SK MEL; SK NON-MEL; CNS; BREAST; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14712	GENURIN; BREAST; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14713	SK MEL; GENURIN; BREAST; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14714	SK NON-MEL; GENURIN; BREAST; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14715	SK MEL; SK NON-MEL; GENURIN; BREAST; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14716	CNS; GENURIN; BREAST; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14717	SK MEL; CNS; GENURIN; BREAST; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14718	SK NON-MEL; CNS; GENURIN; BREAST; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14719	SK MEL; SK NON-MEL; CNS; GENURIN; BREAST; THYR; TONGUE/THR/LAR; LEUK; LI; HCC; HBL	N
MALMULTIPED	14720	LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14721	SK MEL; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14722	SK NON-MEL; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14723	SK MEL; SK NON-MEL; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14724	CNS; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14725	SK MEL; CNS; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14726	SK NON-MEL; CNS; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14727	SK MEL; SK NON-MEL; CNS; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14728	GENURIN; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14729	SK MEL; GENURIN; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14730	SK NON-MEL; GENURIN; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14731	SK MEL; SK NON-MEL; GENURIN; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14732	CNS; GENURIN; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14733	SK MEL; CNS; GENURIN; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14734	SK NON-MEL; CNS; GENURIN; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14735	SK MEL; SK NON-MEL; CNS; GENURIN; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14736	BREAST; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14737	SK MEL; BREAST; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14738	SK NON-MEL; BREAST; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14739	SK MEL; SK NON-MEL; BREAST; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14740	CNS; BREAST; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14741	SK MEL; CNS; BREAST; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14742	SK NON-MEL; CNS; BREAST; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14743	SK MEL; SK NON-MEL; CNS; BREAST; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14744	GENURIN; BREAST; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14745	SK MEL; GENURIN; BREAST; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14746	SK NON-MEL; GENURIN; BREAST; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14747	SK MEL; SK NON-MEL; GENURIN; BREAST; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14748	CNS; GENURIN; BREAST; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14749	SK MEL; CNS; GENURIN; BREAST; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14750	SK NON-MEL; CNS; GENURIN; BREAST; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14751	SK MEL; SK NON-MEL; CNS; GENURIN; BREAST; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14752	THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14753	SK MEL; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14754	SK NON-MEL; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14755	SK MEL; SK NON-MEL; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14756	CNS; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14757	SK MEL; CNS; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14758	SK NON-MEL; CNS; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14759	SK MEL; SK NON-MEL; CNS; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14760	GENURIN; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14761	SK MEL; GENURIN; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14762	SK NON-MEL; GENURIN; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14763	SK MEL; SK NON-MEL; GENURIN; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14764	CNS; GENURIN; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14765	SK MEL; CNS; GENURIN; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14766	SK NON-MEL; CNS; GENURIN; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14767	SK MEL; SK NON-MEL; CNS; GENURIN; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14768	BREAST; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14769	SK MEL; BREAST; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14770	SK NON-MEL; BREAST; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14771	SK MEL; SK NON-MEL; BREAST; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14772	CNS; BREAST; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14773	SK MEL; CNS; BREAST; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14774	SK NON-MEL; CNS; BREAST; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14775	SK MEL; SK NON-MEL; CNS; BREAST; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14776	GENURIN; BREAST; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14777	SK MEL; GENURIN; BREAST; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14778	SK NON-MEL; GENURIN; BREAST; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14779	SK MEL; SK NON-MEL; GENURIN; BREAST; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14780	CNS; GENURIN; BREAST; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14781	SK MEL; CNS; GENURIN; BREAST; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14782	SK NON-MEL; CNS; GENURIN; BREAST; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14783	SK MEL; SK NON-MEL; CNS; GENURIN; BREAST; THYR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14784	TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14785	SK MEL; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14786	SK NON-MEL; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14787	SK MEL; SK NON-MEL; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14788	CNS; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14789	SK MEL; CNS; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14790	SK NON-MEL; CNS; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14791	SK MEL; SK NON-MEL; CNS; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14792	GENURIN; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14793	SK MEL; GENURIN; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14794	SK NON-MEL; GENURIN; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14795	SK MEL; SK NON-MEL; GENURIN; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14796	CNS; GENURIN; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14797	SK MEL; CNS; GENURIN; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14798	SK NON-MEL; CNS; GENURIN; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14799	SK MEL; SK NON-MEL; CNS; GENURIN; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14800	BREAST; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14801	SK MEL; BREAST; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14802	SK NON-MEL; BREAST; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14803	SK MEL; SK NON-MEL; BREAST; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14804	CNS; BREAST; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14805	SK MEL; CNS; BREAST; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14806	SK NON-MEL; CNS; BREAST; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14807	SK MEL; SK NON-MEL; CNS; BREAST; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14808	GENURIN; BREAST; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14809	SK MEL; GENURIN; BREAST; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14810	SK NON-MEL; GENURIN; BREAST; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14811	SK MEL; SK NON-MEL; GENURIN; BREAST; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14812	CNS; GENURIN; BREAST; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14813	SK MEL; CNS; GENURIN; BREAST; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14814	SK NON-MEL; CNS; GENURIN; BREAST; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14815	SK MEL; SK NON-MEL; CNS; GENURIN; BREAST; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14816	THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14817	SK MEL; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14818	SK NON-MEL; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14819	SK MEL; SK NON-MEL; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14820	CNS; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14821	SK MEL; CNS; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14822	SK NON-MEL; CNS; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14823	SK MEL; SK NON-MEL; CNS; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14824	GENURIN; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14825	SK MEL; GENURIN; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14826	SK NON-MEL; GENURIN; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14827	SK MEL; SK NON-MEL; GENURIN; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14828	CNS; GENURIN; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14829	SK MEL; CNS; GENURIN; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14830	SK NON-MEL; CNS; GENURIN; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14831	SK MEL; SK NON-MEL; CNS; GENURIN; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14832	BREAST; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14833	SK MEL; BREAST; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14834	SK NON-MEL; BREAST; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14835	SK MEL; SK NON-MEL; BREAST; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14836	CNS; BREAST; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14837	SK MEL; CNS; BREAST; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14838	SK NON-MEL; CNS; BREAST; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14839	SK MEL; SK NON-MEL; CNS; BREAST; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14840	GENURIN; BREAST; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14841	SK MEL; GENURIN; BREAST; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14842	SK NON-MEL; GENURIN; BREAST; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14843	SK MEL; SK NON-MEL; GENURIN; BREAST; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14844	CNS; GENURIN; BREAST; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14845	SK MEL; CNS; GENURIN; BREAST; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14846	SK NON-MEL; CNS; GENURIN; BREAST; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14847	SK MEL; SK NON-MEL; CNS; GENURIN; BREAST; THYR; TONGUE/THR/LAR; LU; LEUK; LI; HCC; HBL	N
MALMULTIPED	14848	UNK; LI; HCC; HBL	N
MALMULTIPED	14849	SK MEL; UNK; LI; HCC; HBL	N
MALMULTIPED	14850	SK NON-MEL; UNK; LI; HCC; HBL	N
MALMULTIPED	14851	SK MEL; SK NON-MEL; UNK; LI; HCC; HBL	N
MALMULTIPED	14852	CNS; UNK; LI; HCC; HBL	N
MALMULTIPED	14853	SK MEL; CNS; UNK; LI; HCC; HBL	N
MALMULTIPED	14854	SK NON-MEL; CNS; UNK; LI; HCC; HBL	N
MALMULTIPED	14855	SK MEL; SK NON-MEL; CNS; UNK; LI; HCC; HBL	N
MALMULTIPED	14856	GENURIN; UNK; LI; HCC; HBL	N
MALMULTIPED	14857	SK MEL; GENURIN; UNK; LI; HCC; HBL	N
MALMULTIPED	14858	SK NON-MEL; GENURIN; UNK; LI; HCC; HBL	N
MALMULTIPED	14859	SK MEL; SK NON-MEL; GENURIN; UNK; LI; HCC; HBL	N
MALMULTIPED	14860	CNS; GENURIN; UNK; LI; HCC; HBL	N
MALMULTIPED	14861	SK MEL; CNS; GENURIN; UNK; LI; HCC; HBL	N
MALMULTIPED	14862	SK NON-MEL; CNS; GENURIN; UNK; LI; HCC; HBL	N
MALMULTIPED	14863	SK MEL; SK NON-MEL; CNS; GENURIN; UNK; LI; HCC; HBL	N
MALMULTIPED	14864	BREAST; UNK; LI; HCC; HBL	N
MALMULTIPED	14865	SK MEL; BREAST; UNK; LI; HCC; HBL	N
MALMULTIPED	14866	SK NON-MEL; BREAST; UNK; LI; HCC; HBL	N
MALMULTIPED	14867	SK MEL; SK NON-MEL; BREAST; UNK; LI; HCC; HBL	N
MALMULTIPED	14868	CNS; BREAST; UNK; LI; HCC; HBL	N
MALMULTIPED	14869	SK MEL; CNS; BREAST; UNK; LI; HCC; HBL	N
MALMULTIPED	14870	SK NON-MEL; CNS; BREAST; UNK; LI; HCC; HBL	N
MALMULTIPED	14871	SK MEL; SK NON-MEL; CNS; BREAST; UNK; LI; HCC; HBL	N
MALMULTIPED	14872	GENURIN; BREAST; UNK; LI; HCC; HBL	N
MALMULTIPED	14873	SK MEL; GENURIN; BREAST; UNK; LI; HCC; HBL	N
MALMULTIPED	14874	SK NON-MEL; GENURIN; BREAST; UNK; LI; HCC; HBL	N
MALMULTIPED	14875	SK MEL; SK NON-MEL; GENURIN; BREAST; UNK; LI; HCC; HBL	N
MALMULTIPED	14876	CNS; GENURIN; BREAST; UNK; LI; HCC; HBL	N
MALMULTIPED	14877	SK MEL; CNS; GENURIN; BREAST; UNK; LI; HCC; HBL	N
MALMULTIPED	14878	SK NON-MEL; CNS; GENURIN; BREAST; UNK; LI; HCC; HBL	N
MALMULTIPED	14879	SK MEL; SK NON-MEL; CNS; GENURIN; BREAST; UNK; LI; HCC; HBL	N
MALMULTIPED	14880	THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14881	SK MEL; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14882	SK NON-MEL; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14883	SK MEL; SK NON-MEL; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14884	CNS; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14885	SK MEL; CNS; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14886	SK NON-MEL; CNS; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14887	SK MEL; SK NON-MEL; CNS; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14888	GENURIN; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14889	SK MEL; GENURIN; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14890	SK NON-MEL; GENURIN; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14891	SK MEL; SK NON-MEL; GENURIN; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14892	CNS; GENURIN; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14893	SK MEL; CNS; GENURIN; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14894	SK NON-MEL; CNS; GENURIN; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14895	SK MEL; SK NON-MEL; CNS; GENURIN; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14896	BREAST; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14897	SK MEL; BREAST; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14898	SK NON-MEL; BREAST; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14899	SK MEL; SK NON-MEL; BREAST; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14900	CNS; BREAST; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14901	SK MEL; CNS; BREAST; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14902	SK NON-MEL; CNS; BREAST; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14903	SK MEL; SK NON-MEL; CNS; BREAST; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14904	GENURIN; BREAST; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14905	SK MEL; GENURIN; BREAST; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14906	SK NON-MEL; GENURIN; BREAST; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14907	SK MEL; SK NON-MEL; GENURIN; BREAST; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14908	CNS; GENURIN; BREAST; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14909	SK MEL; CNS; GENURIN; BREAST; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14910	SK NON-MEL; CNS; GENURIN; BREAST; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14911	SK MEL; SK NON-MEL; CNS; GENURIN; BREAST; THYR; UNK; LI; HCC; HBL	N
MALMULTIPED	14912	TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14913	SK MEL; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14914	SK NON-MEL; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14915	SK MEL; SK NON-MEL; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14916	CNS; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14917	SK MEL; CNS; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14918	SK NON-MEL; CNS; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14919	SK MEL; SK NON-MEL; CNS; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14920	GENURIN; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14921	SK MEL; GENURIN; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14922	SK NON-MEL; GENURIN; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14923	SK MEL; SK NON-MEL; GENURIN; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14924	CNS; GENURIN; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14925	SK MEL; CNS; GENURIN; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14926	SK NON-MEL; CNS; GENURIN; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14927	SK MEL; SK NON-MEL; CNS; GENURIN; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14928	BREAST; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14929	SK MEL; BREAST; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14930	SK NON-MEL; BREAST; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14931	SK MEL; SK NON-MEL; BREAST; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14932	CNS; BREAST; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14933	SK MEL; CNS; BREAST; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14934	SK NON-MEL; CNS; BREAST; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14935	SK MEL; SK NON-MEL; CNS; BREAST; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14936	GENURIN; BREAST; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14937	SK MEL; GENURIN; BREAST; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14938	SK NON-MEL; GENURIN; BREAST; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
MALMULTIPED	14939	SK MEL; SK NON-MEL; GENURIN; BREAST; TONGUE/THR/LAR; UNK; LI; HCC; HBL	N
