"STAR Table Name: THORACIC_DATA
Variable Names in red font denote that field has important information in the Comment field

The data files created based on data as of 4/5/2024 will include data for registrations added and/or transplants occurring through 03/31/2024"	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
SHARE_TY	ALLOCATION TYPE-LOCAL/REGIONAL/NATIONAL - 3=LOCAL/4=REGIONAL/5=NATIONAL/6=FOREIGN	CALCULATED				NUM	SHARETY	
SKIN_CANCER_DON	DECEASED DONOR-SKIN CANCER AT PROCUREMENT (Y/N)	DDR	1994-04-01 00:00:00		DONOR HISTORY	CHAR(1)		
STATUS_DDR	DDR Form Status	DDR				CHAR(1)	FRMSTAT	
STATUS_LDR	LDR Form Status	LDR				CHAR(1)	FRMSTAT	
STATUS_TCR	TCR Form Status	TCR				CHAR(1)	FRMSTAT	
STATUS_TRR	TRR Form Status	TRR				CHAR(1)	FRMSTAT	
STERNOTOMY_TCR	EVENTS OCCURRING PRIOR TO LISTING: STERNOTOMY	TCR	1999-10-25 00:00:00	2004-06-30 00:00:00	CLINICAL INFORMATION	NUM		
STERNOTOMY_TRR	EVENTS OCCURRING BETWEEN LISTING AND TRANSPLANT: STERNOTOMY	TRR	1999-10-25 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		10/01/1990-04/01/1994: NO EXPLICIT INSTRUCTIONS ABOUT TIME FRAME
STEROID	CHRONIC STEROID USE Y/N/U @ TRANSPLANT	TRR	1994-04-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(1)		
SUD_DEATH	HEART MEDICAL FACTORS: SUDDEN DEATH (pre 1/1/2007 for adult patients)	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
SVR_INIT_DON	DDR:SVR (initial) //SVR: (dynes/sec/cm)^5)	DDR	2004-06-30 00:00:00		ORGAN RECOVERY	NUM		
SVR_POST_DON	DDR:SVR (final) //SVR:	DDR	2004-06-30 00:00:00		ORGAN RECOVERY	NUM		
SYST_PA_CATH_INIT_DON	DDR PA CATHETER INIT (MM/HG)	DDR	2004-06-30 00:00:00		ORGAN RECOVERY	NUM		
SYST_PA_CATH_POST_DON	DDR PA CATHETER FINAL (MM/HG)	DDR	2004-06-30 00:00:00		ORGAN RECOVERY	NUM		
SYSTOLIC_PA_CATH_OLD_DON	ARCHIVED DDR PA SYSTOLIC	DDR	1999-10-25 00:00:00	2004-06-30 00:00:00	ORGAN RECOVERY	NUM		
TAH	CANDIDATE HAS TOTAL ARTIFICIAL HEART?	WL	2004-06-30 00:00:00		WAITING LIST DATA	CHAR(1)		
TATTOOS	DECEASED DONOR-TATOOS	DDR	1999-10-25 00:00:00		DONOR HISTORY	CHAR(1)		
TBILI	MOST RECENT SERUM TOTAL BILIRUBIN @ TRANSPLANT	TRR	1994-04-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		
TBILI_DON	DECEASED DONOR-TERMINAL TOTAL BILIRUBIN	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
TCR_CDC_GROWTH_BMI	CANDIDATE CDC BMI PERCENTILE AT LISTING	TCR	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM		
TCR_CDC_GROWTH_HGT	CANDIDATE CDC HGT PERCENTILE AT LISTING	TCR	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM		
TCR_CDC_GROWTH_WGT	CANDIDATE CDC WGT PERCENTILE AT LISTING	TCR	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM		
TCR_DGN	CANDIDATE DIAGNOSIS AT LISTING	TCR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM	ALL_DGN	
TCR_DUR_ABSTAIN	DURATION OF ABSTINENCE FOR CIGARETTE USE	TCR	2004-06-30 00:00:00		CANDIDATE INFORMATION	NUM	CIGDURAB	
THORACIC_DGN	Waitlist CANDIDATE DIAGNOSIS	WL DATA				NUM	ALL_DGN	
THORACOT_LT_OLD	CANDIDATE THORACOTOMY LEFT AT LISTING	TCR		2004-06-30 00:00:00	HEART/LUNG MEDICAL FACTORS	CHAR(1)		
THORACOT_RT_OLD	CANDIDATE THORACOTOMY RIGHT AT LISTING	TCR		2004-06-30 00:00:00	HEART/LUNG MEDICAL FACTORS	CHAR(1)		
TITERA	TRR/TRF PEDIATRIC POST-TRANSPLANT MOST RECENT ANTI-A TITER	TRR/TRF	2008-03-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		
TITERA_DATE	TRR/TRF SAMPLE DATE OF PEDIATRIC POST-TRANSPLANT MOST RECENT ANTI-A TITER	TRR/TRF	2008-03-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		
TITERB	TRR/TRF PEDIATRIC POST-TRANSPLANT MOST RECENT ANTI-B TITER	TRR/TRF	2008-03-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		
TITERB_DATE	TRR/TRF SAMPLE DATE OF PEDIATRIC POST-TRANSPLANT MOST RECENT ANTI-B TITER	TRR/TRF	2008-03-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	NUM		
TOT_SERUM_ALBUM	PATIENT TOTAL SERUM ALBUMIN  @ REGISTRATION (pre 1/1/2007 for adult)	TCR	1999-10-25 00:00:00		CLINICAL INFORMATION	NUM		
TOTAL_PERFUSION_TIME	TOTAL TIME (MINUTES) LUNG(S) ON PERFUSION	TRR	2018-02-28 00:00:00		TRANSPLANT PROCEDURE CLINICAL INFORMATION	NUM		
TRACHEOSTOMY_TRR	TRR TRACHEOSTOMY	TRR	2004-06-30 00:00:00	2018-02-28 00:00:00	PRETRANSPLANT CLINICAL INFORMATION	CHAR(1)		
TRANSFUS_INTRAOP_NUM_OLD_DON	ARCHIVED DDR TRANSFUSION UNITS INTRAOPERATIVELY	DDR	1999-10-25 00:00:00	2004-06-30 00:00:00	CLINICAL INFORMATION	NUM	TRANSFUS	
TRANSFUS_PRIOR_NUM_OLD_DON	ARCHIVED DDR TRANSUFISION UNITS PRE-OPERATIVELY	DDR	1999-10-25 00:00:00	2004-06-30 00:00:00	CLINICAL INFORMATION	NUM	TRANSFUS	
TRANSFUS_TERM_DON	DDR:Number of transfusions during this (terminal) hospitalization:	DDR	2004-06-30 00:00:00		CLINICAL INFORMATION	NUM	TRANSFUS	
TRANSFUSIONS	EVENTS OCCURRING BETWEEN LISTING AND TRANSPLANT: TRANSFUSIONS Y/N/U	TRR	1994-04-01 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(1)		
TRANSPLANT_COUNTRY	COUNTRY OF TRANSPLANT FOR RECEIVING A TRANSPLANT IN ANOTHER COUNTRY	WL DATA				NUM		
TRANSPLANT_TIME	TRR Transplant Date 	TRR	2023-09-14 00:00:00			NUM		
TRANSPLANTTIMEZONEID	Transplant Time Zone	TRR	2023-09-14 00:00:00			NUM		
TRR_ID_CODE	ENCRYPTED TRANSPLANT IDENTIFIER	CALCULATED				CHAR(15)		
TRTREJ1Y	TREATED FOR REJECTION WITHIN 1 YEAR	CALCULATED				CHAR(1)		
TX_DATE	TRANSPLANT DATE	TRR	1987-10-01 00:00:00		RECIPIENT INFORMATION	NUM		
TX_PROCEDUR_TY	RECIPIENT PROCEDURE TYPE - CALCULATED	CALCULATED				NUM	THPROC	
TX_TYPE	TYPE OF TRANSPLANT	CALCULATED				CHAR(1)	TX_TYPE_TH	
TX_YEAR	TRANSPLANT YEAR	CALCULATED				NUM		
TXED	CANDIDATE RECEIVED DECEASED DONOR TRANSPLANT? 1=YES	WL			WAITING LIST DATA	NUM		
TXHRT	SIMULTANEOUS HEART	CALCULATED				CHAR(1)		
TXINT	SIMULTANEOUS INTESTINE	CALCULATED				CHAR(1)		W-Whole, S-Segment  (This field to determines the type of multi-organ transplant performed) 
TXKID	SIMULTANEOUS KIDNEY	CALCULATED				CHAR(1)		R-Right, L-Left, E-En-Bloc (This field to determines the type of multi-organ transplant performed) 
TXLIV	SIMULTANEOUS LIVER	CALCULATED				CHAR(1)		W-Whole, S-Segment/Split  (This field to determines the type of multi-organ transplant performed) 
TXLNG	SIMULTANEOUS LUNG	CALCULATED				CHAR(1)		R-Right, L-Left, D-Double (This field to determines the type of multi-organ transplant performed) 
TXPAN	SIMULTANEOUS PANCREAS	CALCULATED				CHAR(1)		W-Whole, S-Segment  (This field to determines the type of multi-organ transplant performed) 
TXVCA	SIMULTANEOUS VCA	CALCULATED				CHAR(1)	VCA_SIMULTX	
URINE_INF_CONF_DON	DECEASED DONOR-INFECTION URINE SOURCE-CONFIRMED	DDR	1994-04-01 00:00:00	2015-03-31 00:00:00	CLINICAL INFORMATION	CHAR(1)		
URINE_INF_DON	DECEASED DONOR-INFECTION URINE SOURCE	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	NUM		
VAD_BRAND1_TCR	CANDIDATE VAD BRAND 1 AT LISTING	TCR	2004-06-30 00:00:00		CANDIDATE INFORMATION	NUM		
VAD_BRAND1_TRR	TRR LIFE SUPPORT VAD BRAND 1	TRR	2004-06-30 00:00:00		PATIENT STATUS	NUM	VADBRAND	
VAD_BRAND2_TCR	CANDIDATE VAD BRAND 2 AT LISTING	TCR	2004-06-30 00:00:00		CANDIDATE INFORMATION	NUM		
VAD_BRAND2_TRR	TRR LIFE SUPPORT VAD BRAND 2	TRR	2004-06-30 00:00:00		PATIENT STATUS	NUM	VADBRAND	
VAD_DEVICE_TY_TCR	CANDIDATE TYPE OF VAD DEVICE AT LISTING	TCR	2004-06-30 00:00:00		CANDIDATE INFORMATION	NUM	VADDEVTY	
VAD_DEVICE_TY_TRR	TRR VAD DEVICE TYPE	TRR	2004-06-30 00:00:00		PATIENT STATUS	NUM	VADDEVTY	
VAD_TAH_TCR	CANDIDATE ON LIFE SUPPORT - VAD/TAH @ REGISTRATION	TCR	1994-04-01 00:00:00	2004-06-30 00:00:00	CANDIDATE INFORMATION	NUM	VADTAH	
VAD_TAH_TRR	RECIPIENT ON LIFE SUPPORT - VAD/TAH @ TRANSPLANT	TRR	1994-04-01 00:00:00	2004-06-30 00:00:00	PATIENT STATUS	NUM	VADTAH	
VADBRAND1POSTTX24	POST TRANSPLANT AT 24 HOURS//VAD BRAND1:	TRR	2023-09-14 00:00:00			NUM	VADBRAND                        	
VADBRAND1POSTTX72	POST TRANSPLANT AT 72 HOURS//VAD BRAND1:	TRR	2023-09-14 00:00:00			NUM	VADBRAND                        	
VADBRAND2POSTTX24	POST TRANSPLANT AT 24 HOURS//VAD BRAND2:	TRR	2023-09-14 00:00:00			NUM	VADBRAND                        	
VADBRAND2POSTTX72	POST TRANSPLANT AT 72 HOURS//VAD BRAND2:	TRR	2023-09-14 00:00:00			NUM	VADBRAND                        	
VADDEVICETYPEPOSTTX24	POST TRANSPLANT AT 24 HOURS//PATIENT ON VENTRICULAR ASSIST DEVICE AT 24 HOURS:	TRR	2023-09-14 00:00:00			NUM	VADDEVTY	
VADDEVICETYPEPOSTTX72	POST TRANSPLANT AT 72 HOURS//PATIENT ON VENTRICULAR ASSIST DEVICE AT 72 HOURS:	TRR	2023-09-14 00:00:00			NUM	VADDEVTY	
VAL_DT_DDR	DDR Validation Date	DDR				NUM		
VAL_DT_LDR	LDR Validation Date	LDR				NUM		
VAL_DT_TCR	TCR Validation Date	TCR				NUM		
VAL_DT_TRR	TRR Validation Date	TRR				NUM		
VAS	WL CANDIDATE ON VENTRICULAR ASSIST DEVICE TYPE	WL			WAITING LIST DATA	CHAR(1)		
VASODIL_DON	DECEASED DONOR-VASODILATORS W/IN 24HRS PRE-CROSS CLAMP	DDR	1994-04-01 00:00:00		CLINICAL INFORMATION	CHAR(1)		
VASODOSEPOSTTX24	POST TRANSPLANT AT 24 HOURS//VASO (VASOPRESSIN – PITRESSIN)	TRR	2023-09-14 00:00:00			NUM	VASO	
VASODOSEPOSTTX72	POST TRANSPLANT AT 72 HOURS//	TRR	2023-09-14 00:00:00			NUM	VASO	
VDRL_DON	DECEASED DONOR-RPR-VDRL RESULT	DDR	1987-10-01 00:00:00		CLINICAL INFORMATION	CHAR(2)	SERSTAT	
VENT_SUPPORT_AFTER_LIST	EVENTS OCCURRING BETWEEN LISTING AND TRANSPLANT: EPISODE OF VENTILATORY SUPPORT	TRR	1999-10-25 00:00:00		PRETRANSPLANT CLINICAL INFORMATION	CHAR(1)		
VENT_SUPPORT_TRR	TRR EPISODE OF VENTILATORY SUPPORT					CHAR(1)		
VENT_TIMEFRAME_TRR	TRR MOST RECENT VENT SUPPORT TIMEFRAME	TRR				NUM		
VENTILATOR_TCR	PATIENT ON LIFE SUPPORT - VENTILATOR @ REGISTRATION	TCR	1994-04-01 00:00:00		CANDIDATE INFORMATION	NUM		
VENTILATOR_TRR	PATIENT ON LIFE SUPPORT - VENTILATOR @ TRANSPLANT	TRR	1987-10-01 00:00:00		PATIENT STATUS	NUM		
VESSELS_50STEN	DECEASED DONOR CORONARY ANGIOGRAM: IF YES NORMAL: # VESSELS WITH > 50% STENOSIS 1,2 OR 3 	DDR	1999-10-25 00:00:00		HEART DONOR'S CARDIAC FUNCTION	NUM		
WALL_ABN_GLOB_DON	DDR GLOBAL WALL ABNORMALITIES (Y,N)	DDR	1999-10-25 00:00:00		ORGAN RECOVERY	CHAR(1)		
WALL_ABN_SEG_DON	DDR SEGMENTAL WALL ABNORMALITIES (Y,N)	DDR	1999-10-25 00:00:00		ORGAN RECOVERY	CHAR(1)		
WGT_KG_CALC	CALCULATED RECIPIENT WEIGHT (kg)	CALCULATED				NUM		
WGT_KG_DON_CALC	CALCULATED DONOR WEIGHT (KG)	CALCULATED				NUM		
WGT_KG_TCR	RECIPIENT WEIGHT (kg) @ REGISTRATION	TCR	1987-10-01 00:00:00		CLINICAL INFORMATION	NUM		
WL_ID_CODE	ENCRYPTED REGISTRATION IDENTIFIER	CALCULATED				NUM		
WL_ORG	ORGAN LISTED FOR	WL DATA	1987-10-01 00:00:00			CHAR(4)		
WLHL	WAS CANDIDATE LISTED FOR SIMULTANEOUS HEART-LUNG?	CALCULATED				CHAR(1)		
WLHR	WAS CANDIDATE LISTED FOR SIMULTANEOUS HEART?	CALCULATED				CHAR(1)		
WLIN	WAS CANDIDATE LISTED FOR SIMULTANEOUS INTESTINE?	CALCULATED				CHAR(1)		
WLKI	WAS CANDIDATE LISTED FOR SIMULTANEOUS KIDNEY?	CALCULATED				CHAR(1)		
WLKP	WAS CANDIDATE LISTED FOR SIMULTANEOUS KIDNEY-PANCREAS?	CALCULATED				CHAR(1)		
WLLI	WAS CANDIDATE LISTED FOR SIMULTANEOUS LIVER?	CALCULATED				CHAR(1)		
WLLU	WAS CANDIDATE LISTED FOR SIMULTANEOUS LUNG?	CALCULATED				CHAR(1)		
WLPA	WAS CANDIDATE LISTED FOR SIMULTANEOUS PANCREAS?	CALCULATED				CHAR(1)		
WLPI	WAS CANDIDATE LISTED FOR SIMULTANEOUS PANCREAS ISLET?	CALCULATED				CHAR(1)		
WLVC	WAS CANDIDATE LISTED FOR SIMULTANEOUS VCA?	CALCULATED				CHAR(1)		
WORK_INCOME_TCR	WORK FOR INCOME AT REGISTRATION?	TCR	2004-06-30 00:00:00		CANDIDATE INFORMATION	CHAR(1)		
WORK_INCOME_TRR	RECIPIENT WORK FOR INCOME AT TRANSPLANT?	TRR	2004-06-30 00:00:00		PATIENT STATUS	CHAR(1)		
YR_ENTRY_US_TCR	YEAR OF ENTRY TO THE U.S.	TCR	2004-06-30 00:00:00		CANDIDATE INFORMATION	NUM		
